City,January,February,March,April,May,June,July,August,September,October,November,December
Non-CMA,1,0.918906154,0.85346015,0.663594713,0.606881851,0.60634539,0.692756853,0.70579714,0.632127094,0.646608951,0.690203736,0.81166442
Ottawa-Gatineau,1,0.910616119,0.888587956,0.61247148,0.556273241,0.532335004,0.603175831,0.606165386,0.55364289,0.586077989,0.655180502,0.799817419
Kingston,1,0.89713784,0.85471701,0.699612293,0.666818641,0.716234315,0.844301147,0.864325686,0.741113796,0.694364098,0.696482568,0.817584954
Peterborough,1,0.938605229,0.904617719,0.722001846,0.71089282,0.725750193,0.880865381,0.872969508,0.744745984,0.726950677,0.762272195,0.909469943
Oshawa,1,0.87591653,0.87133664,0.769478443,0.730507258,0.893497877,1.02800111,1.149101712,1.042454982,0.729736413,0.758007269,0.853450973
Toronto,1,0.903029791,0.871696642,0.705055492,0.695014924,0.768027029,0.901418446,0.932531292,0.789184444,0.676000048,0.68742417,0.820920128
Hamilton,1,0.923826637,0.896416218,0.744470672,0.745631539,0.797194706,0.958463514,0.980509256,0.823579771,0.770161086,0.775034611,0.891939648
St. Catherines,1,0.91642156,0.894443855,0.720662896,0.732800569,0.799270024,0.990131761,1.002591112,0.865389371,0.74400938,0.74998538,0.884529727
Kitchener,1,0.895296423,0.879067932,0.750388225,0.705726049,0.747999454,0.87324767,0.871999665,0.788918304,0.779878708,0.770289474,0.870805009
Brantford,1,0.905997332,0.924935671,0.788395465,0.787764773,0.849391697,1.013945469,1.050190212,0.883352809,0.803360893,0.80580281,0.933984545
Guelph,1,0.836796402,0.938938905,0.813324062,0.780110336,0.784312157,0.859395119,0.863748104,0.846780544,0.833708402,0.847032461,0.976321538
London,1,0.903712006,0.84370577,0.685688268,0.64646629,0.680720157,0.795786379,0.840788108,0.728771261,0.688528109,0.704526882,0.839479784
Windsor,1,0.901659102,0.847702612,0.660696067,0.640953819,0.720606002,0.869645764,0.877261892,0.727404949,0.658821666,0.717088573,0.85639718
Barrie,1,0.935312229,0.890420796,0.721396457,0.781057705,0.835101592,0.949144095,1.005588029,0.863496063,0.731507753,0.747192116,0.881694739
Grand Sudbury,1,0.898069253,0.838613614,0.679287162,0.622262539,0.627218172,0.71452608,0.713539569,0.672105838,0.686281486,0.705465256,0.838919422
Thunder Bay,1,0.899691815,0.876424628,0.736369279,0.664643702,0.657966302,0.739055597,0.780240906,0.691675928,0.681280438,0.723139579,0.847152416
